Lens ID,Title,Date Published,Publication Year,Publication Type,Source Title,ISSNs,Publisher,Source Country,Author/s,Abstract,Volume,Issue Number,Start Page,End Page,Fields of Study,Keywords,MeSH Terms,Chemicals,Funding,Source URLs,External URL,PMID,DOI,Microsoft Academic ID,PMCID,Citing Patents Count,References,Citing Works Count
028-711-739-245-434,An innovative dependable reluctance motor for high-torque low-speed applications,,,conference proceedings,"International Symposium on Power Electronics, Electrical Drives, Automation and Motion, 2006. SPEEDAM 2006.",,IEEE,,Paolo Bolognesi; Ottorino Bruno; Luca Sani; Lucio Taponecco,"In the framework of a recent Italian National Research Project focused on drive-by-wire systems for industrial vehicles, a high-torque electric actuator was searched complying with stringent requirements in terms of specific performances, cost and dependability. This paper describes the considerations and guidelines that led to the development of an innovative electromagnetic structure for a double-anisotropic reluctance machine, illustrating its features and providing an overview of the theoretical, numerical and experimental results achieved",,,72,77,Engineering; Torque; Redundancy (engineering); Automotive engineering; Actuator; Valve actuator; Magnetic reluctance; Energy consumption; Dependability; Reluctance motor,,,,,https://arpi.unipi.it/handle/11568/186485 http://yadda.icm.edu.pl/yadda/element/bwmeta1.element.ieee-000001649747,http://dx.doi.org/10.1109/speedam.2006.1649747,,10.1109/speedam.2006.1649747,2137996884,,0,021-668-278-294-86X; 028-625-466-156-784; 079-957-814-824-736; 106-470-958-463-004; 165-481-035-060-278,1
028-971-265-143-006,The design research of the indigenous steering gear,,2016,conference proceedings,2016 Chinese Control and Decision Conference (CCDC),,IEEE,,Tian Xiaoyu; Yu Zengchun; Zhou Hao; Li Hengyu; Bai Yu,"With the development of the robot industry, the requirements of the joint actuator are improved. The steering gear becomes the first choice of the joint actuator, which has the characteristics of a modular, high integration, Small volume. However, there are universal problems of the steering gear in the domestic market, that torque is too small and rotation angle range is only 120 degrees. This paper adopts the method of contrast analysis of the influence the steering performance of a series of parameters for optimization design of steering gear. Through the drive scheme design, structure design, precision analysis and engineering drawings to finish the design work. Harmonic reducer is used to realize the steering gear of high torque output function; The non contact magnetic encoder is chosen to detect the rotation angle and improve the positioning accuracy and expand the range of rotation angle; The three-loop control is used to improve the response speed and accuracy of the motor. This paper mainly introduces the present situation of domestic research and the design of each module, and gives the concrete scheme of mechanical structure, hardware circuit and software design.",,,6947,6952,Modular design; Servomotor; Non-circular gear; Engineering; Control engineering; Torque; Actuator; Reducer; Software design; Torque steering,,,,,https://ieeexplore.ieee.org/document/7532250/,http://dx.doi.org/10.1109/ccdc.2016.7532250,,10.1109/ccdc.2016.7532250,2512556125,,0,075-022-016-942-341; 143-896-373-865-024,0
029-412-658-405-068,Optimized hydrogen fuel cell systems for MOA and all electric propulsion drivetrains,2015-02-03,2015,,,,,,Josef Kallo; Johannes Schirmer; Claudia Wernera; Lucas Busemeyera; Gunnar Preissa; Florian Goresa; Oliver Thalau; Torben Bu,"Optimized hydrogen fuel cell systems for MOA and all electric propulsion drivetrains Josef Kallo* b , Johannes Schirmer*, Claudia Werner a , Lucas Busemeyer a , Gunnar Preiss a , Florian Gores a , Oliver Thalau*, Torben Burberg* * German Aerospace Center, Institute of Engineering Thermodynamics, Pfaffenwaldring 38, 70569 Stuttgart, Germany a German Aerospace Center, Institute of Engineering Thermodynamics, Hein-Sas-Weg 38, 21129 Hamburg, Germany b corresponding author, josef.kallo@dlr.de, Tel: +49 711 6862672 Abstract: The increasing electrification of aircraft systems from simple actuators to “green taxi” and main electric propulsion typifies a wide field for interdisciplinary research. The German Aerospace Center in Stuttgart, mainly represented by the “electrochemical systems” group at the Institute of Engineering Thermodynamics intensified its activities since 2007 in this interesting research field. Main topics of the research are the development and optimization of high efficient power generators and complete electrical power trains based on hydrogen fuel cells, batteries, efficient voltage converters and high torque electrical motors for General Aviation and commerc",,,,,Drivetrain; Engineering; Aerospace engineering; Electrically powered spacecraft propulsion; Voltage; Electric motor; Electrification; Electric power; Electricity generation; Mechanical engineering; Hydrogen fuel,,,,,https://www.see.asso.fr/node/19004/landing,https://www.see.asso.fr/node/19004/landing,,,2765753435,,0,,0
029-468-477-007-039,Digital Hydraulic Winch Drives,2018-09-12,2018,conference proceedings article,BATH/ASME 2018 Symposium on Fluid Power and Motion Control,,American Society of Mechanical Engineers,,Henrik B. Larsen; Magnus B. Kjelland; Anders Holland; Per N. Lindholdt,"<jats:p>This paper presents the planned use of digital displacement high torque low speed motors to drive large winches in off-shore and maritime applications.</jats:p>;                <jats:p>The digital displacement technology uses forced actuation of high- and low pressure valves for each cylinder chamber, i.e. valves are opened and closed by actuation forces independently of cylinder pressure and supply pressures. Motors equipped with the technology are well suited for low speed secondary controlled operation including start and stop. It also enables unloading of motor cylinders that are not needed to produce torque, whereby excellent efficiency at partial displacement is obtained.</jats:p>;                <jats:p>A research project on application of multi digital motors on a winch with lifting capacity in the 150 t range is presented, and advantages of using such winch drives in off-shore and maritime lifting operations are discussed.</jats:p>;                <jats:p>Positioning and metering are challenges in winch systems with traditional drives. A unique control scheme that allows very fine positioning of the motor shaft is presented. The performance of this method is shown in simulation and demonstrated with measurements on a motor.</jats:p>",,,,,Winch; Engineering; Torque; Marine engineering; Cylinder (engine),,,,,https://journals.asmedigitalcollection.asme.org/FPST/proceedings/FPMC2018/51968/V001T01A028/271158 https://memagazineselect.asmedigitalcollection.asme.org/FPST/proceedings/FPMC2018/51968/V001T01A028/271158 https://asmedigitalcollection.asme.org/FPST/proceedings/FPMC2018/51968/V001T01A028/271158 https://proceedings.asmedigitalcollection.asme.org/proceeding.aspx?articleid=2716623,http://dx.doi.org/10.1115/fpmc2018-8858,,10.1115/fpmc2018-8858,2902122539,,0,,1
029-522-400-974-586,A broadbased actuator concept for spaceflight application,1983-05-01,1983,,,,,,J. C. Hammond,"An electromechanical actuator is applicable to a variety of spaceflight requirements. Characterized by high torque and a small output step angle, the device is comprised of a coaxial, symmetrical arrangement in which a cup type harmonic drive is directly coupled to a pancake configuration drive motor. The motor, with its dual stator driving a common rotor, is one illustration of the concept of selective redundacy. Selective redundancy promotes the idea that redundancy, to be effective, must not compromise inherent design simplicity nor introduce new failure modes. The usefulness of the actuator is exemplified by its selection for a broad range of positioning and driving applications including TDRSS gimbal drives, Space Telescope deployment and latching machanisms, and Space Telescope secondary mirror drive, as well as others.",,,,,Electrical engineering; Physics; Gimbal; Redundancy (engineering); Actuator; Rotor (electric); Stator; Harmonic drive; Secondary mirror; Coaxial,,,,,https://repository.exst.jaxa.jp/dspace/handle/a-is/530199 https://ntrs.nasa.gov/search.jsp?R=19830016614,https://repository.exst.jaxa.jp/dspace/handle/a-is/530199,,,747580018,,0,,0
029-523-308-154-432,Realizing soft high torque actuators for complete assistance wearable robots,2018-10-14,2018,book chapter,Biosystems & Biorobotics,21953562; 21953570,Springer International Publishing,,Allan Joshua Veale; Kyrian Staman; Herman van der Kooij,"Wearable robots enhance the ability of their wearers to physically interact with the world, and can benefit rehabilitation efficiency, assistive devices’ effectiveness, and ergonomic support of workers. Wearable robots’ ergonomics and safety can be promoted by using actuators made of soft materials, but soft actuators in the literature are unable to produce the high torques required for lower limb activities of daily living (ADLs), for example, extension of the knee for sit-to-stand.",22,,39,43,Torque; Wearable computer; Actuator; Lower limb activities; Soft materials; Daily living; High torque; Computer science; Simulation; Robot,,,,,https://rd.springer.com/chapter/10.1007/978-3-030-01887-0_8 https://www.narcis.nl/publication/RecordID/oai%3Aris.utwente.nl%3Apublications%2Ff3df28c9-4a75-4cb4-b579-bd8ad8f996c7 https://utwente-staging.elsevierpure.com/en/publications/realizing-soft-high-torque-actuators-for-complete-assistance-wear https://research.utwente.nl/en/publications/realizing-soft-high-torque-actuators-for-complete-assistance-wear https://link.springer.com/chapter/10.1007/978-3-030-01887-0_8,http://dx.doi.org/10.1007/978-3-030-01887-0_8,,10.1007/978-3-030-01887-0_8,2897994537,,0,012-568-738-831-175; 014-201-199-762-01X; 022-373-188-061-470; 032-129-098-231-358; 034-120-902-544-673; 134-880-698-268-508,2
029-535-487-295-473,Evaluation of Series Clutch Actuators With a High Torque-to-Weight Ratio for Open-Loop Torque Control and Collision Safety,,2018,conference proceedings,IEEE Robotics and Automation Letters,23773774; 23773766,Institute of Electrical and Electronics Engineers (IEEE),United States,Yushi Wang; Alexander Schmitz; Kento Kobayashi; Javier Alejandro Alvarez Lopez; Wei Wang; Yuki Matsuo; Yoshihiro Sakamoto; Shigeki Sugano,"For robots that act outside of tightly controlled environments, force control is often better suited than position control. Series clutch actuators, used without an elastic element, can achieve excellent position control or can be used as a force/torque source. Clutches based on different physical principles can be employed; while recently a lot of research has been performed on clutches based on magnetorheological fluid (MR fluid), they still have a relatively low torque-to-weight ratio, which makes the integration into robots difficult. In industrial applications magnetic particle clutches are preferred, as they have proven their reliability, but they are even heavier for the same torque. Friction clutches have a higher torque-to-weight ratio, but are generally considered to be difficult to control. The goal of this research is to evaluate series clutch actuators with a high torque-to-weight ratio for open-loop torque control and collision safety. First, the characteristics of electromagnetically controlled clutches based on friction, MR fluid, and magnetic particles are profiled. Subsequently, simple model-based open loop torque control is implemented and the hysteresis, step response, and frequency response are evaluated. The friction clutch has a higher hysteresis and torque variation than the other clutches, but a faster step response and a comparable frequency response. Collision experiments are conducted and the results show that also for collisions the torque can be controlled. Furthermore, in contact free motion, by using clutch settings that fulfill the dynamic torque requirements, unhindered position control is feasible, and by using torque limits that are only slighter higher than the dynamic requirements, safer actuation can be achieved. In conclusion, electromagnetically controlled friction clutches not only have a high torque-to-weight ratio (in our case 8 N $\cdot$ m/0.32 kg), but are also a viable option for torque control.",3,1,297,304,Torque sensor; Direct torque control; Coupling; Engineering; Friction torque; Stall torque; Clutch; Torque converter; Damping torque; Control theory,,,,JSPS; Advanced Research and Technology,https://waseda.pure.elsevier.com/ja/publications/evaluation-of-series-clutch-actuators-with-a-high-torque-to-weigh https://dblp.uni-trier.de/db/journals/ral/ral3.html#WangSKLWMSS18 http://ieeexplore.ieee.org/document/8004520 https://ieeexplore.ieee.org/document/8004520/,http://dx.doi.org/10.1109/lra.2017.2737482,,10.1109/lra.2017.2737482,2743926282,,0,001-279-920-315-695; 002-418-571-502-153; 004-456-772-612-826; 004-984-233-690-445; 005-992-265-623-761; 008-558-328-476-20X; 016-220-815-752-760; 021-824-391-356-366; 029-242-921-801-692; 034-337-381-194-969; 052-281-918-938-327; 067-880-287-076-837; 085-104-676-120-548; 089-715-404-827-45X; 091-705-806-324-321; 111-935-217-527-451; 123-967-760-609-733; 147-640-551-542-938; 161-363-997-340-059,2
029-563-330-156-983,Design and analysis of the statically balanced direct-drive robot manipulator,,1989,journal article,Robotics and Computer-Integrated Manufacturing,07365845,Elsevier BV,United Kingdom,H. Kazerooni,"Abstract A practical architecture, using a four-bar linkage, is considered for the University of Minnesota direct-drive robot (Kazerooni, H., Kim, S.: A new architecture for direct drive robots. In Proc. IEEE International Conference on Robotics and Automation, Philadelphia, Pennsylvania, April 1988). This statically balanced direct-drive robot has been constructed for stability analysis of the robot in constrained manipulation (Kazerooni, H. et al.: Fundamentals of robust compliant motion for robot manipulators. IEEE J. Robotics Automation 2: 1986; Kazerooni, H.: On the robot compliant motion control. ASME J. Dynamic Systems Msmt Control; 111 (3): September 1989. Kazerooni, H. et al.: Theory and experiments on robot compliant motion control. ASME J. Dynamic Systems Msmt Control, June 1990). As a result of the elimination of the gravity forces (without any counterweights), smaller actuators and, consequently, smaller amplifiers were chosen. The motors yield acceleration of 5 g at the robot end point without overheating. High torque, low speed, brushless AC synchronous motors are used to power the robot. Graphite-epoxy composite material is used for construction of the robot links. A 4-node parallel processor has been used to control the robot. A compliant motion control method has been derived and experimentally verified to guarantee stable constrained maneuvers for the robot. As part of the research work, a general criterion has been derived to guarantee the stability of robot manipulators in constrained maneuvers.",6,4,287,293,Engineering; Control engineering; Articulated robot; Robot calibration; Arm solution; Industrial robot; Robot control; Robot kinematics; Robot; Delta robot,,,,,https://www.sciencedirect.com/science/article/pii/073658458990118X,http://dx.doi.org/10.1016/0736-5845(89)90118-x,,10.1016/0736-5845(89)90118-x,2077020610,,92,001-099-651-872-371; 003-682-282-925-773; 004-278-383-272-582; 012-525-106-951-398; 039-354-074-229-988; 056-097-732-393-619; 064-008-352-948-195; 109-012-715-543-051; 129-458-607-774-145; 199-869-538-209-067,9
029-681-370-249-110,A single port surgical robot system with novel elbow joint mechanism for high force transmission.,2017-04-03,2017,journal article,The international journal of medical robotics + computer assisted surgery : MRCAS,1478596x; 14785951,John Wiley and Sons Ltd,United Kingdom,Minho Hwang; Un Je Yang; Deokyoo Kong; Deok Gyoon Chung; June Gi Lim; Dong-Ho Lee; Daniel H. Kim; Dongsuk Shin; Taeho Jang; Jeong Whun Kim; Dong-Soo Kwon,"Background; Despite its evident clinical benefits, single-incision laparoscopic surgery (SILS) imposes inherent limitations of collision between external arms and inadequate triangulation because multiple instruments are inserted through a single port at the same time.; ; Methods; A robot platform appropriate for SILS was developed wherein an elbowed instrument can be equipped to easily create surgical triangulation without the interference of robot arms. A novel joint mechanism for a surgical instrument actuated by a rigid link was designed for high torque transmission capability.; ; Results; The feasibility and effectiveness of the robot was checked through three kinds of preliminary tests: payload, block transfer, and ex vivo test. Measurements showed that the proposed robot has a payload capability >15 N with 7 mm diameter.; ; Conclusions; The proposed robot is effective and appropriate for SILS, overcoming inadequate triangulation and improving workspace and traction force capability.",13,4,e1808,,Payload; Interference (wave propagation); Surgical instrument; Elbow; Tractive force; Computer science; Simulation; Workspace; Triangulation (social science); Robot,,Biomechanical Phenomena; Equipment Design; Hand/physiology; Humans; Laparoscopy/instrumentation; Robotic Surgical Procedures/instrumentation; Robotics/instrumentation; Stainless Steel,Stainless Steel,University of Texas Health Science Center at San Antonio; Seoul National University Bundang Hospital,https://www.ncbi.nlm.nih.gov/pubmed/28371219 http://onlinelibrary.wiley.com/doi/10.1002/rcs.1808/full https://snucm.elsevierpure.com/en/publications/a-single-port-surgical-robot-system-with-novel-elbow-joint-mechan,http://dx.doi.org/10.1002/rcs.1808,28371219,10.1002/rcs.1808,2604513349,,0,017-813-950-274-394; 021-355-625-848-680; 028-778-684-582-973; 032-230-595-918-472; 032-357-759-944-625; 036-651-788-727-198; 037-854-191-152-340; 045-512-697-985-729; 047-283-669-403-599; 060-295-494-116-748; 062-659-371-029-916; 064-796-302-069-037; 072-635-389-337-104; 108-351-105-681-027,10
029-718-410-682-792,A permanent magnet AC machine structure with true field weakening capability,,,conference proceedings,ISIE '93 - Budapest: IEEE International Symposium on Industrial Electronics Conference Proceedings,,IEEE,,Andrew Shakal; Yuefeng Liao; Thomas A. Lipo,"New doubly salient machines in which the field excitation is developed by stationary or mounted permanent magnets has recently been undergoing development at the University of Wisconsin. Because of the unique geometry of the stator, these permanent magnets are readily accessible. Therefore, for experimental purposes, simple iron blocks are used to 'short' a large portion of the permanent magnet flux and thus reduce the back EMF developed within the machine. However, for practical applications, field weakening schemes involving miniature linear actuators or high torque stepper motors are being explored. Preliminary experimental results show that a substantial reduction in the back EMF can be readily obtained thus lending credibility to the concept of weakening fields produced by stationary permanent magnets. >",,,19,24,Electrical engineering; Engineering; Linear actuator; Magnetic flux; Magnet; Stepper; Permanent magnet synchronous generator; Stator; Field weakening; Excitation,,,,,https://ieeexplore.ieee.org/document/268821 http://yadda.icm.edu.pl/yadda/element/bwmeta1.element.ieee-000000268821,http://dx.doi.org/10.1109/isie.1993.268821,,10.1109/isie.1993.268821,2096419093,,0,004-769-201-575-133; 019-121-516-477-59X; 053-856-861-419-438; 109-124-916-308-353; 118-602-216-137-020; 122-628-343-294-360; 124-955-931-817-771,37
030-092-357-215-522,Switched reluctance motor: a reduced torque ripple drive,,,conference proceedings,Proceedings of IECON '93 - 19th Annual Conference of IEEE Industrial Electronics,,IEEE,,L. Malesani; F. Leonardi; R. Speranza; A. Scandellari,"SRM main features are good robustness and high specific torque and power; however, its simple structure is intrinsically characterized by a highly non-uniform torque. The above characteristics are very important for medium power, high reliability applications, but in robotics a high torque ripple is not admissible, especially in direct coupled actuators and/or in position controls. In this paper the approach of adopting a control of the phase current shape, while keeping the original simple magnetic structure, is presented. The solution shows the capability to keep torque non-uniformity under a few percent, thus achieving remarkable improvements in machine controllability at low speed, down to standstill. The experimental test of an accurate position control is reported. >",,,1764,1769,Torque sensor; Direct torque control; Switched reluctance motor; Engineering; Torque; Stall torque; Machine control; Torque ripple; Damping torque; Control theory,,,,,http://ieeexplore.ieee.org/xpl/articleDetails.jsp?reload=true&arnumber=339341&punumber%3D1044%26sortType%3Dasc_p_Sequence%26filter%3DAND%28p_IS_Number%3A7958%29%26pageNumber%3D2 https://ieeexplore.ieee.org/iel2/1044/7958/00339341.pdf,http://dx.doi.org/10.1109/iecon.1993.339341,,10.1109/iecon.1993.339341,1815665709,,0,006-835-679-551-03X; 030-805-699-964-627; 038-567-440-940-861; 110-514-589-715-742; 116-207-931-927-344; 189-840-003-258-354,2
030-234-576-396-328,A compact wrist rehabilitation robot with accurate force/stiffness control and misalignment adaptation,2019-02-27,2019,conference proceedings,International Journal of Intelligent Robotics and Applications,23665971; 2366598x,Springer Science and Business Media LLC,,Yin Yu Su; Ying Lung Yu; Ching Hui Lin; Chao-Chieh Lan,"Robots have been demonstrated to assist the rehabilitation of patients with upper or lower limb disabilities. To make exoskeleton robots more friendly and accessible to patients, they need to be lightweight and compact without major performance tradeoffs. Existing upper-limb exoskeleton robots focus on the assistance of the coarse-motion of the upper arm while the fine-motion rehabilitation of the forearm is often ignored. This paper presents a wrist robot with three degrees-of-freedom. Using a geared bearing, slider crank mechanisms, and a spherical mechanism, this robot can provide the complete motion assistance for the forearm. The optimized robot dimensions allow large torque and rotation output while the motors are placed parallel to the forearm. Thus lightweight, compactness, and better inertia properties can be achieved. Linear and rotary series elastic actuators (SEAs) with high torque-to-weight ratios are proposed to accurately measure and control the interaction force and impedance between the robot and the wrist. The resulting 1.5-kg robot can be used alone or easily in combination with other robots to provide various robot-aided upper limb rehabilitation.",3,1,45,58,Inertia; Bearing (mechanical); Torque; Exoskeleton; Actuator; Stiffness; Forearm; Computer science; Simulation; Robot,,,,"Ministry of Science and Technology, Taiwan",https://researchoutput.ncku.edu.tw/zh/publications/a-compact-wrist-rehabilitation-robot-with-accurate-forcestiffness https://dblp.uni-trier.de/db/journals/ijira/ijira3.html#SuYLL19 https://link.springer.com/article/10.1007/s41315-019-00083-6,http://dx.doi.org/10.1007/s41315-019-00083-6,,10.1007/s41315-019-00083-6,2915282720,,0,008-040-272-723-374; 009-358-378-504-010; 011-665-134-964-32X; 015-103-035-955-074; 016-166-406-974-245; 016-442-335-525-466; 017-056-671-872-660; 023-861-370-973-176; 024-540-946-378-29X; 025-376-193-886-445; 025-811-354-159-470; 027-020-448-639-485; 037-182-886-252-699; 040-276-903-781-097; 044-839-668-860-132; 048-593-421-751-602; 050-265-278-831-464; 051-102-100-197-443; 052-019-025-481-67X; 058-125-938-774-482; 064-053-729-893-183; 070-271-729-163-992; 072-109-918-436-133; 072-375-775-094-798; 075-911-099-359-070; 080-059-985-981-331; 083-238-102-200-259; 110-192-806-854-898; 112-970-656-659-077; 122-933-624-293-031; 126-007-951-199-635; 133-624-291-042-225; 140-459-720-569-752; 143-577-936-346-140; 160-079-212-588-042; 160-587-963-440-429; 198-993-184-561-291,5
030-749-067-094-228,Adaptive control of compliant robots with Reservoir Computing,,2013,dissertation,,,,,Tim Waegeman,"In modern society, robots are increasingly used to handle dangerous, repetitive and/or heavy tasks with high precision. Because of the nature of the tasks, either being dangerous, high precision or simply repetitive, robots are usually constructed with high torque motors and sturdy materials, that makes them dangerous for humans to handle. In a car-manufacturing company, for example, a large cage is placed around the robot’s workspace that prevents humans from entering its vicinity. In the last few decades, efforts have been made to improve human-robot interaction. Often the movement of robots is characterized as not being smooth and clearly dividable into sub-movements. This makes their movement rather unpredictable for humans. So, there exists an opportunity to improve the motion generation of robots to enhance human-robot interaction. One interesting research direction is that of imitation learning. Here, human motions are recorded and demonstrated to the robot. Although the robot is able to reproduce such movements, it cannot be generalized to other situations. Therefore, a dynamical system approach is proposed where the recorded motions are embedded into the dynamics of the system. Shaping these nonlinear dynamics, according to recorded motions, allows for dynamical system to generalize beyond demonstration. As a result, the robot can generate motions of other situations not included in the recorded human demonstrations.; In this dissertation, a Reservoir Computing approach is used to create a dynamical system in which such demonstrations are embedded. Reservoir Computing systems are Recurrent Neural Network-based approaches that are efficiently trained by considering only the training of the readout connections and retaining all other connections of such a network unchanged given their initial randomly chosen values. Although they have been used to embed periodic motions before, they were extended to embed discrete motions, or both. This work describes how such a motion pattern-generating system is built, investigates the nature of the underlying dynamics and evaluates their robustness in the face of perturbations. Additionally, a dynamical system approach to obstacle avoidance is proposed that is based on vector fields in the presence of repellers. This technique can be used to extend the motion abilities of the robot without need for changing the trained Motion Pattern Generator (MPG). Therefore, this approach can be applied in real-time on any system that generates a certain movement trajectory.; Assume that the MPG system is implemented on an industrial robotic arm, similar to the ones used in a car factory. Even though the obstacle avoidance strategy presented is able to modify the generated motion of the robot’s gripper in such a way that it avoids obstacles, it does not guarantee that other parts of the robot cannot collide with a human. To prevent this, engineers have started to use advanced control algorithms that measure the amount of torque that is applied on the robot. This allows the robot to be aware of external perturbations. However, it turns out that, even with fast control loops, the adaptation to compensate for a sudden perturbation, is too slow to prevent high interaction forces. To reduce such forces, researchers started to use mechanical elements that are passively compliant (e.g., springs) and light-weight flexible materials to construct robots. Although such compliant robots are much safer and inherently energy efficient to use, their control becomes much harder. Most control approaches use model information about the robot (e.g., weight distribution and shape). However, when constructing a compliant robot it is hard to determine the dynamics of these materials. Therefore, a model-free adaptive control framework is proposed that assumes no prior knowledge about the robot. By interacting with the robot it learns an inverse robot model that is used as controller. The more it interacts, the better the control be- comes. Appropriately, this framework is called Inverse Modeling Adaptive (IMA) control framework. I have evaluated the IMA controller’s tracking ability on sev- eral tasks, investigating its model independence and stability. Furthermore, I have shown its fast learning ability and comparable performance to taskspecific designed controllers.; Given both the MPG and IMA controllers, it is possible to improve the inter- actability of a compliant robot in a human-friendly environment. When the robot is to perform human-like motions for a large set of tasks, we need to demonstrate motion examples of all these tasks. However, biological research concerning the motion generation of animals and humans revealed that a limited set of motion patterns, called motion primitives, are modulated and combined to generate advanced motor/motion skills that humans and animals exhibit. Inspired by these interesting findings, I investigate if a single motion primitive indeed can be modulated to achieve a desired motion behavior. By some elementary experiments, where an MPG is controlled by an IMA controller, a proof of concept is presented. Furthermore, a general hierarchy is introduced that describes how a robot can be controlled in a biology-inspired manner. I also investigated how motion primitives can be combined to produce a desired motion. However, I was unable to get more advanced implementations to work. The results of some simple experiments are presented in the appendix. Another approach I investigated assumes that the primitives themselves are undefined. Instead, only a high-level description is given, which describes that every primitive on average should contribute equally, while still allowing for a single primitive to specialize in a part of the motion generation. Without defining the behavior of a primitive, only a set of untrained IMA controllers is used of which each will represent a single primitive. As a result of the high-level heuristic description, the task space is tiled into sub-regions in an unsupervised manner. Resulting in controllers that indeed represent a part of the motion generation. I have applied this Modular Architecture with Control Primitives (MACOP) on an inverse kinematic learning task and investigated the emerged primitives. Thanks to the tiling of the task space, it becomes possible to control redundant systems, because redundant solutions can be spread over several control primitives. Within each sub region of the task space, a specific control primitive is more accurate than in other regions allowing for the task complexity to be distributed over several less complex tasks.; Finally, I extend the use of an IMA-controller, which is tracking controller, to the control of under-actuated systems. By using a sample-based planning algorithm it becomes possible to explore the system dynamics in which a path to a desired state can be planned. Afterwards, MACOP is used to incorporate feedback and to learn the necessary control commands corresponding to the planned state space trajectory, even if it contains errors. As a result, the under-actuated control of a cart pole system was achieved. Furthermore, I presented the concept of a simulation based control framework that allows the learning of the system dynamics, planning and feedback control iteratively and simultaneously.",,,,,Adaptive control; Engineering; Control engineering; Reservoir computing; Motion control; Robotic arm; Social robot; Control theory; Obstacle avoidance; Control theory; Robot,,,,,https://biblio.ugent.be/publication/4266574 https://biblio.ugent.be/publication/4266574/file/4336887.pdf,https://biblio.ugent.be/publication/4266574,,,2300668509,,0,,0
030-805-559-506-835,3-DOF Outer Rotor Electromagnetic Spherical Actuator,2016-07-05,2016,journal article,International Journal of Automation Technology,18817629; 18838022,Fuji Technology Press Ltd.,Japan,Yusuke Nishiura; Katsuhiro Hirata; Yo Sakaidani,"<jats:p>Conventionally, many single-degree-of-freedom (single-DOF) actuators have been used to realize devices with multiple-degrees-of-freedom (multi-DOF). However, this makes their structures larger, heavier, and more complicated. In order to remove these drawbacks, the development of spherical actuators with multi-DOF is necessary. In this paper, we propose a new 3-DOF outer rotor electromagnetic spherical actuator with high torque density and wide rotation angles. The dynamic characteristics are computed employing 3-D FEM and its effectiveness is verified by carrying out measurements on a prototype. Then, in order to realize further high torque density, the electromagnetic pole arrangement is optimized using Genetic Algorithm (GA) and the effectiveness of the optimized stator poles arrangement is verified.</jats:p>",10,4,591,598,Physics; Control engineering; Rotor (electric); Spherical actuator; Control theory; Genetic algorithm,,,,,https://www.fujipress.jp/ijat/au/ijate001000040591/ https://dblp.uni-trier.de/db/journals/ijat/ijat10.html#NishiuraHS16,http://dx.doi.org/10.20965/ijat.2016.p0591,,10.20965/ijat.2016.p0591,2574568112,,0,001-879-375-129-342; 005-198-120-752-310; 013-941-060-760-543; 016-649-507-403-632; 034-437-733-796-428; 039-875-374-441-247; 042-259-822-781-069; 052-648-626-308-911; 073-655-876-755-447; 073-996-857-001-493; 086-365-625-211-062; 088-632-435-643-629; 101-866-616-744-155; 118-760-125-245-433; 122-713-749-220-552; 125-424-445-157-409; 168-217-832-542-09X; 169-409-915-199-998; 176-966-786-344-727,2
